segment_id,gold_role,combined_role,D_role,combined_role_correct,D_role_correct,gold_entities,combined_entities,D_entities,combined_entity_jaccard,D_entity_jaccard,combined_entity_correct,D_entity_correct,gold_status,combined_status,D_status,combined_status_correct,D_status_correct,gold_relation,combined_relation,D_relation,combined_relation_correct,D_relation_correct,gold_answer,combined_answer,D_answer,combined_answer_correct,D_answer_correct,combined_strict_correct,D_strict_correct,combined_relaxed_1_correct,D_relaxed_1_correct,combined_relaxed_2_correct,D_relaxed_2_correct,combined_relaxed_3_correct,D_relaxed_3_correct,outcome_bucket
HELDOUT2_S0069,NEXT_STEP,NEXT_STEP,NEXT_STEP,YES,YES,audit trail; human review; model release governance,audit trail; human review,audit trail; human review,0.666667,0.666667,NO,NO,ACTIVE,ACTIVE,ACTIVE,YES,YES,proposes_next_test,proposes_next_test,proposes_next_test,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,both_strict_wrong
HELDOUT2_S0070,NEXT_STEP,DEFINE,BACKGROUND,NO,NO,answer support; route segment; evidence selection,answer support; RouteMap; RouteMap segment,answer support; RouteMap; RouteMap segment,0.500000,0.500000,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,proposes_next_test,defines,sets_context,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,combined_relaxed2_or_3_only
HELDOUT2_S0071,EXAMPLE,EXAMPLE,BACKGROUND,YES,NO,privacy; consent boundary; AI safety evaluation,AI safety evaluation; consent boundary; evaluation,AI safety evaluation; consent boundary; evaluation,0.500000,0.500000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,gives_example,gives_example,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,combined_relaxed2_or_3_only
HELDOUT2_S0072,EXAMPLE,METHOD,LIMITATION,NO,NO,model release governance; audit trail; human review,audit trail; governance; human review,audit trail; governance; human review,0.500000,0.500000,NO,NO,DESCRIPTIVE,ACTIVE,LIMITED,NO,NO,gives_example,recommends,limits,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,combined_relaxed2_or_3_only
HELDOUT2_S0073,EXAMPLE,EXAMPLE,BACKGROUND,YES,NO,tool-use security; permission boundary; privacy,permission boundary,permission boundary,0.333333,0.333333,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,gives_example,gives_example,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0074,EXAMPLE,EXAMPLE,BACKGROUND,YES,NO,agent memory; source context; route provenance,,,0.000000,0.000000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,gives_example,gives_example,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0075,EXAMPLE,EXAMPLE,LIMITATION,YES,NO,privacy; answer support; evidence selection,consent boundary; privacy,consent boundary; privacy,0.250000,0.250000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,NEGATED,YES,NO,gives_example,gives_example,limits,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0076,EXAMPLE,BACKGROUND,BACKGROUND,NO,NO,tool-use security; permission boundary; route segment,LLM application security; tool-use security,LLM application security; tool-use security,0.250000,0.250000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,gives_example,sets_context,sets_context,NO,NO,YES,MAYBE,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0077,EXAMPLE,EXAMPLE,BACKGROUND,YES,NO,incident response; retrieval trace; agent memory,retrieval,retrieval,0.000000,0.000000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,gives_example,gives_example,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0078,EXAMPLE,EXAMPLE,BACKGROUND,YES,NO,benchmark; human review; route segment,benchmark; human review,benchmark; human review,0.666667,0.666667,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,gives_example,gives_example,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,combined_relaxed2_or_3_only
HELDOUT2_S0079,EXAMPLE,EXAMPLE,BACKGROUND,YES,NO,audit trail; evidence selection; model release governance,evidence selection; human review,evidence selection; human review,0.250000,0.250000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,gives_example,gives_example,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0080,EXAMPLE,METHOD,RESULT,NO,NO,answer support; policy context; route segment,policy context; RouteMap; RouteMap segment,policy context; RouteMap; RouteMap segment,0.500000,0.500000,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,gives_example,recommends,reports_usefulness,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,combined_relaxed2_or_3_only
