segment_id,gold_role,combined_role,D_role,R6_role,combined_role_correct,D_role_correct,R6_role_correct,combined_coarse5_correct,D_coarse5_correct,R6_coarse5_correct,combined_coarse4_correct,D_coarse4_correct,R6_coarse4_correct,combined_coarse3_correct,D_coarse3_correct,R6_coarse3_correct,gold_entities,combined_entities,D_entities,R6_entities,combined_entity_jaccard,D_entity_jaccard,R6_entity_jaccard,combined_entity_exact,D_entity_exact,R6_entity_exact,gold_status,combined_status,D_status,R6_status,combined_status_correct,D_status_correct,R6_status_correct,gold_relation,combined_relation,D_relation,R6_relation,combined_relation_correct,D_relation_correct,R6_relation_correct,gold_answer,combined_answer,D_answer,R6_answer,combined_answer_correct,D_answer_correct,R6_answer_correct,combined_strict_correct,D_strict_correct,R6_strict_correct,combined_relaxed_1_correct,D_relaxed_1_correct,R6_relaxed_1_correct,combined_relaxed_2_correct,D_relaxed_2_correct,R6_relaxed_2_correct,combined_relaxed_3_correct,D_relaxed_3_correct,R6_relaxed_3_correct,outcome_bucket,strict_blockers_for_R6
HELDOUT2_S0043,RESULT,RESULT,RESULT,RESULT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,1.000000,1.000000,1.000000,YES,YES,YES,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,reports_usefulness,reports_usefulness,reports_usefulness,reports_usefulness,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,all_strict_correct,none
HELDOUT2_S0044,RESULT,CLAIM,RESULT,RESULT,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,agent memory; source context; route provenance,agent memory,agent memory,agent memory,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,supports_retrieval,asserts,reports_usefulness,asserts,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; status; relation; multiple
HELDOUT2_S0045,RESULT,CLAIM,RESULT,RESULT,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,tool-use security; permission boundary; human review,LLM application security; permission boundary; secure AI development; tool-use security,LLM application security; permission boundary; secure AI development; tool-use security,LLM application security; permission boundary; secure AI development; tool-use security,0.400000,0.400000,0.400000,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,reports_usefulness,asserts,reports_usefulness,asserts,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; status; relation; multiple
HELDOUT2_S0046,RESULT,RESULT,BACKGROUND,RESULT,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,benchmark; route segment; evaluation,benchmark,benchmark,benchmark,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,reports_usefulness,reports_usefulness,sets_context,reports_usefulness,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0047,RESULT,METHOD,RESULT,RESULT,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,human review; retrieval trace; evidence selection,human review; retrieval; retrieval trace,human review; retrieval; retrieval trace,human review; retrieval; retrieval trace,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,reports_usefulness,recommends,reports_usefulness,recommends,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,multi_field_blocks_R6,entity; status; relation; multiple
HELDOUT2_S0048,RESULT,CLAIM,RESULT,RESULT,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,audit trail; answer support; model release governance,answer support; audit trail,answer support; audit trail,answer support; audit trail,0.666667,0.666667,0.666667,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,reports_usefulness,asserts,reports_usefulness,asserts,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,multi_field_blocks_R6,entity; status; relation; multiple
HELDOUT2_S0049,RESULT,RESULT,RESULT,RESULT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,evidence selection; source context; route segment,evidence selection; RouteMap; RouteMap segment; source context,evidence selection; RouteMap; RouteMap segment; source context,evidence selection; RouteMap; RouteMap segment; source context,0.750000,0.750000,0.750000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,supports_retrieval,reports_usefulness,reports_usefulness,reports_usefulness,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,multi_field_blocks_R6,entity; relation; multiple
HELDOUT2_S0050,RESULT,RESULT,RESULT,RESULT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,mismatch review; policy context; claims,mismatch review; policy context,mismatch review; policy context,mismatch review; policy context,0.666667,0.666667,0.666667,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,reports_usefulness,reports_usefulness,reports_usefulness,reports_usefulness,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,entity_blocks_R6,entity
HELDOUT2_S0051,LIMITATION,LIMITATION,LIMITATION,LIMITATION,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,benchmark; policy context; evaluation,benchmark; evaluation,benchmark; evaluation,benchmark; evaluation,0.666667,0.666667,0.666667,NO,NO,NO,LIMITED,LIMITED,DESCRIPTIVE,LIMITED,YES,NO,YES,warns_about,limits,limits,limits,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,multi_field_blocks_R6,entity; relation; multiple
HELDOUT2_S0052,LIMITATION,LIMITATION,LIMITATION,LIMITATION,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,model release governance; AI safety evaluation; risk management,,,,0.000000,0.000000,0.000000,NO,NO,NO,NEGATED,NEGATED,ACTIVE,NEGATED,YES,NO,YES,limits,limits,limits,limits,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
HELDOUT2_S0053,LIMITATION,EXAMPLE,LIMITATION,EXAMPLE,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,consent boundary; permission boundary; privacy,consent boundary,consent boundary,consent boundary,0.333333,0.333333,0.333333,NO,NO,NO,NEGATED,DESCRIPTIVE,NEGATED,DESCRIPTIVE,NO,YES,NO,limits,gives_example,limits,gives_example,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; status; relation; multiple
HELDOUT2_S0054,LIMITATION,EXAMPLE,LIMITATION,EXAMPLE,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,retrieval trace; answer support; route segment,retrieval; retrieval trace,retrieval; retrieval trace,retrieval; retrieval trace,0.250000,0.250000,0.250000,NO,NO,NO,LIMITED,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,NO,NO,warns_about,gives_example,limits,gives_example,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; status; relation; multiple
HELDOUT2_S0055,LIMITATION,BACKGROUND,LIMITATION,BACKGROUND,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,agent memory; source context; human review,agent memory; source context,agent memory; source context,agent memory; source context,0.666667,0.666667,0.666667,NO,NO,NO,LIMITED,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,NO,NO,warns_about,sets_context,limits,sets_context,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; status; relation; answer; multiple
HELDOUT2_S0056,LIMITATION,METHOD,LIMITATION,METHOD,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,permission boundary; tool-use security; privacy,permission boundary; privacy,permission boundary; privacy,permission boundary; privacy,0.666667,0.666667,0.666667,NO,NO,NO,NEGATED,ACTIVE,ACTIVE,ACTIVE,NO,NO,NO,limits,recommends,limits,recommends,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,R6_role_repair_failure,role; entity; status; relation; multiple
HELDOUT2_S0057,LIMITATION,METHOD,LIMITATION,METHOD,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,human review; audit trail; evidence selection,audit trail; human review,audit trail; human review,audit trail; human review,0.666667,0.666667,0.666667,NO,NO,NO,LIMITED,ACTIVE,ACTIVE,ACTIVE,NO,NO,NO,warns_about,recommends,limits,recommends,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,R6_role_repair_failure,role; entity; status; relation; multiple
HELDOUT2_S0058,LIMITATION,LIMITATION,LIMITATION,LIMITATION,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,benchmark; incident response; route segment,benchmark,benchmark,benchmark,0.333333,0.333333,0.333333,NO,NO,NO,LIMITED,LIMITED,LIMITED,LIMITED,YES,YES,YES,warns_about,limits,limits,limits,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; relation; multiple
HELDOUT2_S0059,LIMITATION,DEFINE,LIMITATION,DEFINE,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,policy context; controls; risk management,controls; policy context,controls; policy context,controls; policy context,0.666667,0.666667,0.666667,NO,NO,NO,LIMITED,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,NO,warns_about,defines,limits,defines,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,R6_role_repair_failure,role; entity; status; relation; multiple
HELDOUT2_S0060,LIMITATION,LIMITATION,LIMITATION,LIMITATION,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,answer support; route segment; evidence selection,answer support; RouteMap; RouteMap segment,answer support; RouteMap; RouteMap segment,answer support; RouteMap; RouteMap segment,0.500000,0.500000,0.500000,NO,NO,NO,LIMITED,LIMITED,NEGATED,LIMITED,YES,NO,YES,warns_about,limits,limits,limits,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,multi_field_blocks_R6,entity; relation; multiple
HELDOUT2_S0061,NEXT_STEP,NEXT_STEP,BACKGROUND,NEXT_STEP,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,benchmark; incident response; model release governance,evaluation; governance,evaluation; governance,evaluation; governance,0.000000,0.000000,0.000000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,proposes_next_test,proposes_next_test,sets_context,proposes_next_test,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0062,NEXT_STEP,BACKGROUND,NEXT_STEP,BACKGROUND,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,evaluation; model release governance; source context,evaluation; governance; model release governance,evaluation; governance; model release governance,evaluation; governance; model release governance,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,NO,proposes_next_test,sets_context,proposes_next_test,sets_context,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; status; relation; answer; multiple
HELDOUT2_S0063,NEXT_STEP,EXAMPLE,BACKGROUND,EXAMPLE,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,1.000000,1.000000,1.000000,YES,YES,YES,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,NO,proposes_next_test,gives_example,sets_context,gives_example,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,role; status; relation; multiple
HELDOUT2_S0064,NEXT_STEP,NEXT_STEP,NEXT_STEP,NEXT_STEP,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,retrieval trace; route provenance; route extraction,retrieval; route provenance,retrieval; route provenance,retrieval; route provenance,0.250000,0.250000,0.250000,NO,NO,NO,ACTIVE,ACTIVE,ACTIVE,ACTIVE,YES,YES,YES,proposes_next_test,proposes_next_test,proposes_next_test,proposes_next_test,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
HELDOUT2_S0065,NEXT_STEP,RESULT,NEXT_STEP,NEXT_STEP,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,agent memory; evidence selection; benchmark,agent memory; benchmark,agent memory; benchmark,agent memory; benchmark,0.666667,0.666667,0.666667,NO,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,NO,proposes_next_test,reports_usefulness,proposes_next_test,reports_usefulness,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,multi_field_blocks_R6,entity; status; relation; multiple
HELDOUT2_S0066,NEXT_STEP,EXAMPLE,NEXT_STEP,NEXT_STEP,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,tool-use security; permission boundary; agent memory,LLM application security; tool-use security,LLM application security; tool-use security,LLM application security; tool-use security,0.250000,0.250000,0.250000,NO,NO,NO,ACTIVE,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,NO,proposes_next_test,gives_example,proposes_next_test,gives_example,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; status; relation; multiple
HELDOUT2_S0068,NEXT_STEP,NEXT_STEP,BACKGROUND,NEXT_STEP,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,benchmark; gold labels; mismatch review,benchmark,benchmark,benchmark,0.333333,0.333333,0.333333,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,proposes_next_test,proposes_next_test,sets_context,proposes_next_test,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0069,NEXT_STEP,NEXT_STEP,NEXT_STEP,NEXT_STEP,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,audit trail; human review; model release governance,audit trail; human review,audit trail; human review,audit trail; human review,0.666667,0.666667,0.666667,NO,NO,NO,ACTIVE,ACTIVE,ACTIVE,ACTIVE,YES,YES,YES,proposes_next_test,proposes_next_test,proposes_next_test,proposes_next_test,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,entity_blocks_R6,entity
HELDOUT2_S0070,NEXT_STEP,DEFINE,BACKGROUND,DEFINE,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,answer support; route segment; evidence selection,answer support; RouteMap; RouteMap segment,answer support; RouteMap; RouteMap segment,answer support; RouteMap; RouteMap segment,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,NO,proposes_next_test,defines,sets_context,defines,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,R6_preserves_combined_relaxed3,role; entity; status; relation; multiple
HELDOUT2_S0071,EXAMPLE,EXAMPLE,BACKGROUND,EXAMPLE,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,privacy; consent boundary; AI safety evaluation,AI safety evaluation; consent boundary; evaluation,AI safety evaluation; consent boundary; evaluation,AI safety evaluation; consent boundary; evaluation,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,sets_context,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity
HELDOUT2_S0072,EXAMPLE,METHOD,LIMITATION,METHOD,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,model release governance; audit trail; human review,audit trail; governance; human review,audit trail; governance; human review,audit trail; governance; human review,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,ACTIVE,LIMITED,ACTIVE,NO,NO,NO,gives_example,recommends,limits,recommends,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,role; entity; status; relation; multiple
HELDOUT2_S0073,EXAMPLE,EXAMPLE,BACKGROUND,EXAMPLE,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,tool-use security; permission boundary; privacy,permission boundary,permission boundary,permission boundary,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,sets_context,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0074,EXAMPLE,EXAMPLE,BACKGROUND,EXAMPLE,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,agent memory; source context; route provenance,,,,0.000000,0.000000,0.000000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,sets_context,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0075,EXAMPLE,EXAMPLE,LIMITATION,EXAMPLE,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,privacy; answer support; evidence selection,consent boundary; privacy,consent boundary; privacy,consent boundary; privacy,0.250000,0.250000,0.250000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,NEGATED,DESCRIPTIVE,YES,NO,YES,gives_example,gives_example,limits,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0076,EXAMPLE,BACKGROUND,BACKGROUND,BACKGROUND,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,tool-use security; permission boundary; route segment,LLM application security; tool-use security,LLM application security; tool-use security,LLM application security; tool-use security,0.250000,0.250000,0.250000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,sets_context,sets_context,sets_context,NO,NO,NO,YES,MAYBE,MAYBE,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,role; entity; relation; answer; multiple
HELDOUT2_S0077,EXAMPLE,EXAMPLE,BACKGROUND,EXAMPLE,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,incident response; retrieval trace; agent memory,retrieval,retrieval,retrieval,0.000000,0.000000,0.000000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,sets_context,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0078,EXAMPLE,EXAMPLE,BACKGROUND,EXAMPLE,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,benchmark; human review; route segment,benchmark; human review,benchmark; human review,benchmark; human review,0.666667,0.666667,0.666667,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,sets_context,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity
HELDOUT2_S0079,EXAMPLE,EXAMPLE,BACKGROUND,EXAMPLE,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,audit trail; evidence selection; model release governance,evidence selection; human review,evidence selection; human review,evidence selection; human review,0.250000,0.250000,0.250000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,sets_context,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0080,EXAMPLE,METHOD,RESULT,RESULT,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,answer support; policy context; route segment,policy context; RouteMap; RouteMap segment,policy context; RouteMap; RouteMap segment,policy context; RouteMap; RouteMap segment,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,gives_example,recommends,reports_usefulness,recommends,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,multi_field_blocks_R6,role; entity; status; relation; multiple
