segment_id,gold_role,gold_coarse_5,gold_coarse_4,gold_coarse_3,gold_entities,gold_status,gold_relation,gold_answer,combined_v3_role,combined_v3_role_correct,combined_v3_coarse_5_correct,combined_v3_coarse_4_correct,combined_v3_coarse_3_correct,combined_v3_entities,combined_v3_entity_jaccard,combined_v3_entity_exact,combined_v3_status,combined_v3_status_correct,combined_v3_relation,combined_v3_relation_correct,combined_v3_answer,combined_v3_answer_correct,combined_v3_strict_correct,combined_v3_relaxed_1_correct,combined_v3_relaxed_2_correct,combined_v3_relaxed_3_correct,D_role,D_role_correct,D_coarse_5_correct,D_coarse_4_correct,D_coarse_3_correct,D_entities,D_entity_jaccard,D_entity_exact,D_status,D_status_correct,D_relation,D_relation_correct,D_answer,D_answer_correct,D_strict_correct,D_relaxed_1_correct,D_relaxed_2_correct,D_relaxed_3_correct,R6_role,R6_role_correct,R6_coarse_5_correct,R6_coarse_4_correct,R6_coarse_3_correct,R6_entities,R6_entity_jaccard,R6_entity_exact,R6_status,R6_status_correct,R6_relation,R6_relation_correct,R6_answer,R6_answer_correct,R6_strict_correct,R6_relaxed_1_correct,R6_relaxed_2_correct,R6_relaxed_3_correct,R6_strict_blockers,outcome_bucket
TB041,RESULT,ASSERTION,CONTENT,SUBSTANTIVE,"[""trial"", ""blocked culvert reports"", ""bridge-depth notes"", ""severity rule""]",DESCRIPTIVE,reports_usefulness,YES,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,sets_context,NO,YES,YES,NO,NO,NO,NO,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,entity,R6_role_repair_success
TB042,NEXT_STEP,ACTION,ACTION,SUBSTANTIVE,"[""blind review set"", ""storm event"", ""false alarms"", ""missed deployments""]",ACTIVE,proposes_next_test,YES,NEXT_STEP,YES,YES,YES,YES,evaluation,0.000000,NO,ACTIVE,YES,proposes_next_test,YES,YES,YES,NO,NO,NO,NO,NEXT_STEP,YES,YES,YES,YES,evaluation,0.000000,NO,ACTIVE,YES,proposes_next_test,YES,YES,YES,NO,NO,NO,NO,NEXT_STEP,YES,YES,YES,YES,evaluation,0.000000,NO,ACTIVE,YES,proposes_next_test,YES,YES,YES,NO,NO,NO,NO,entity,entity_blocks_R6
TB043,DEFINE,ASSERTION,CONTENT,SUBSTANTIVE,"[""LawBrief Disclosure Tracker"", ""litigation notes"", ""evidence request"", ""privilege issue"", ""disclosure deadline"", ""client instruction"", ""counsel review""]",ACTIVE,supports_retrieval,YES,EXAMPLE,NO,NO,NO,YES,,0.000000,NO,DESCRIPTIVE,NO,gives_example,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,EXAMPLE,NO,NO,NO,YES,,0.000000,NO,DESCRIPTIVE,NO,gives_example,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB044,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,"[""case handlers"", ""factual evidence"", ""legal advice"", ""deadline reminders""]",DESCRIPTIVE,sets_context,YES,EXAMPLE,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,gives_example,NO,YES,YES,NO,NO,NO,NO,LIMITATION,NO,NO,NO,NO,,0.000000,NO,NEGATED,NO,limits,NO,YES,YES,NO,NO,NO,NO,EXAMPLE,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,gives_example,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB045,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""extractor"", ""document type"", ""legal sensitivity"", ""deadline"", ""responsible person"", ""case route""]",ACTIVE,supports_retrieval,YES,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,role; entity; status; relation; answer; multiple,multi_field_blocks_R6
TB046,LIMITATION,CAVEAT,CAVEAT,CAVEAT,"[""privilege"", ""confidentiality"", ""qualified reviewer""]",ACTIVE,limits,YES,DEFINE,NO,NO,NO,NO,human review,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,LIMITATION,YES,YES,YES,YES,human review,0.000000,NO,DESCRIPTIVE,NO,limits,YES,YES,YES,NO,NO,NO,NO,DEFINE,NO,NO,NO,NO,human review,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,R6_role_repair_failure
TB047,EXAMPLE,INSTANCE,ACTION,SUBSTANTIVE,"[""client"", ""contract draft"", ""old laptop"", ""evidence collection"", ""privilege review""]",DESCRIPTIVE,gives_example,YES,RESULT,NO,NO,NO,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,YES,,0.000000,NO,ACTIVE,NO,asserts,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB048,NEXT_STEP,ACTION,ACTION,SUBSTANTIVE,"[""blind corpus"", ""case summaries"", ""gold examples"", ""training snippets""]",ACTIVE,proposes_next_test,YES,BACKGROUND,NO,NO,NO,NO,benchmark,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,benchmark,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,benchmark,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,role; entity; status; relation; answer; multiple,multi_field_blocks_R6
TB049,DEFINE,ASSERTION,CONTENT,SUBSTANTIVE,"[""RoboInspect"", ""factory inspection notes"", ""defect type"", ""machine owner"", ""safety class"", ""downtime risk"", ""repair priority""]",ACTIVE,supports_retrieval,YES,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,role; entity; status; relation; answer; multiple,multi_field_blocks_R6
TB050,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,"[""operators"", ""shift change"", ""cosmetic defect"", ""safety-critical fault"", ""line""]",DESCRIPTIVE,sets_context,YES,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,MAYBE,NO,NO,NO,NO,NO,entity; answer; multiple,multi_field_blocks_R6
TB051,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""machine ID"", ""station"", ""observed symptom"", ""recurrence"", ""production stop""]",ACTIVE,supports_retrieval,YES,DEFINE,NO,NO,NO,YES,,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,DEFINE,NO,NO,NO,YES,,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB052,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""calibration rule"", ""minor vibration notes"", ""escalating risk"", ""third occurrence"", ""seven days""]",ACTIVE,maps_to,YES,NEXT_STEP,NO,YES,YES,YES,,0.000000,NO,ACTIVE,YES,proposes_next_test,NO,YES,YES,NO,NO,NO,NO,LIMITATION,NO,NO,NO,NO,,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,NEXT_STEP,NO,YES,YES,YES,,0.000000,NO,ACTIVE,YES,proposes_next_test,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB053,RESULT,ASSERTION,CONTENT,SUBSTANTIVE,"[""review"", ""route classifier"", ""downtime label"", ""spare part""]",DESCRIPTIVE,reports_usefulness,YES,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,sets_context,NO,YES,YES,NO,NO,NO,NO,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,entity,R6_role_repair_success
TB054,LIMITATION,CAVEAT,CAVEAT,CAVEAT,"[""fault"", ""machine"", ""planned maintenance""]",ACTIVE,limits,YES,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,LIMITATION,YES,YES,YES,YES,,0.000000,NO,ACTIVE,YES,limits,YES,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,role; entity; status; relation; answer; multiple,R6_role_repair_failure
TB055,DEFINE,ASSERTION,CONTENT,SUBSTANTIVE,"[""GreenLedger"", ""supplier notes"", ""carbon evidence"", ""labour-risk concern"", ""certification status"", ""data gap"", ""remediation action""]",ACTIVE,supports_retrieval,YES,EXAMPLE,NO,NO,NO,YES,,0.000000,NO,DESCRIPTIVE,NO,gives_example,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,EXAMPLE,NO,NO,NO,YES,,0.000000,NO,DESCRIPTIVE,NO,gives_example,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB056,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,"[""procurement teams"", ""supplier claim"", ""verified document""]",DESCRIPTIVE,sets_context,YES,RESULT,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,NO,YES,YES,NO,NO,NO,NO,LIMITATION,NO,NO,NO,NO,,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,RESULT,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB057,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""claim"", ""evidence source"", ""verification level"", ""due date"", ""audit"", ""supplier follow-up"", ""internal approval""]",ACTIVE,supports_retrieval,YES,CLAIM,NO,NO,NO,YES,,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,YES,,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,YES,,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB058,LIMITATION,CAVEAT,CAVEAT,CAVEAT,"[""marketing brochure"", ""certification"", ""standard"", ""certificate number""]",ACTIVE,limits,YES,CLAIM,NO,NO,NO,NO,,0.000000,NO,NEGATED,NO,asserts,NO,YES,YES,NO,NO,NO,NO,LIMITATION,YES,YES,YES,YES,,0.000000,NO,LIMITED,NO,limits,YES,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,NO,,0.000000,NO,NEGATED,NO,asserts,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,R6_role_repair_failure
TB059,RESULT,ASSERTION,CONTENT,SUBSTANTIVE,"[""first pass"", ""data-gap detection"", ""supplier"", ""expired certificate""]",DESCRIPTIVE,reports_usefulness,YES,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,LIMITATION,NO,NO,NO,NO,,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,entity,R6_role_repair_success
TB060,NEXT_STEP,ACTION,ACTION,SUBSTANTIVE,"[""fresh blind batch"", ""suppliers"", ""pilot sectors"", ""production scoring threshold""]",ACTIVE,proposes_next_test,YES,LIMITATION,NO,NO,NO,NO,evaluation,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,NEXT_STEP,YES,YES,YES,YES,evaluation,0.000000,NO,ACTIVE,YES,proposes_next_test,YES,YES,YES,NO,NO,NO,NO,LIMITATION,NO,NO,NO,NO,evaluation,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,R6_role_repair_failure
TB061,DEFINE,ASSERTION,CONTENT,SUBSTANTIVE,"[""EventMesh"", ""live-event incident notes"", ""crowd flow"", ""medical support"", ""access control"", ""technical fault"", ""steward deployment""]",ACTIVE,supports_retrieval,YES,METHOD,NO,NO,NO,YES,controls,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,controls,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,METHOD,NO,NO,NO,YES,controls,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB062,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,"[""busy event"", ""radio messages"", ""issue"", ""action""]",DESCRIPTIVE,sets_context,YES,LIMITATION,NO,NO,NO,NO,,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,YES,YES,NO,NO,NO,NO,LIMITATION,NO,NO,NO,NO,,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,R6_role_repair_failure
TB063,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""zone"", ""incident type"", ""urgency"", ""current owner"", ""incident""]",ACTIVE,supports_retrieval,YES,EXAMPLE,NO,NO,YES,YES,,0.000000,NO,DESCRIPTIVE,NO,gives_example,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,EXAMPLE,NO,NO,YES,YES,,0.000000,NO,DESCRIPTIVE,NO,gives_example,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB064,EXAMPLE,INSTANCE,ACTION,SUBSTANTIVE,"[""Gate C"", ""scanner"", ""queue"", ""technical fault"", ""crowd-flow monitoring""]",DESCRIPTIVE,gives_example,YES,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,role; entity; relation; answer; multiple,multi_field_blocks_R6
TB065,LIMITATION,CAVEAT,CAVEAT,CAVEAT,"[""medical note"", ""medical keywords"", ""priority"", ""review""]",ACTIVE,limits,YES,DEFINE,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,LIMITATION,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,NO,limits,YES,YES,YES,NO,NO,NO,NO,DEFINE,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,R6_role_repair_failure
TB066,NEXT_STEP,ACTION,ACTION,SUBSTANTIVE,"[""model"", ""blind set"", ""venue"", ""venue-specific language"", ""scores""]",ACTIVE,proposes_next_test,YES,LIMITATION,NO,NO,NO,NO,evaluation,0.000000,NO,NEGATED,NO,limits,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,YES,evaluation,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,LIMITATION,NO,NO,NO,NO,evaluation,0.000000,NO,NEGATED,NO,limits,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB067,DEFINE,ASSERTION,CONTENT,SUBSTANTIVE,"[""HeritageVault"", ""museum catalogue notes"", ""provenance gap"", ""conservation risk"", ""digitisation need"", ""loan restriction"", ""research lead""]",ACTIVE,supports_retrieval,YES,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,role; entity; status; relation; answer; multiple,multi_field_blocks_R6
TB068,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,"[""curators"", ""condition concern"", ""historical claim"", ""display recommendation""]",DESCRIPTIVE,sets_context,YES,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,MAYBE,NO,NO,NO,NO,NO,entity; answer; multiple,multi_field_blocks_R6
TB069,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""object identifier"", ""material"", ""risk phrase"", ""evidence phrase"", ""workflow route"", ""specialist review""]",ACTIVE,supports_retrieval,YES,METHOD,YES,YES,YES,YES,,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,METHOD,YES,YES,YES,YES,,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,entity; relation; multiple,R6_role_repair_success
TB070,LIMITATION,CAVEAT,CAVEAT,CAVEAT,"[""item"", ""another piece"", ""provenance evidence""]",ACTIVE,limits,YES,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,role; entity; status; relation; answer; multiple,multi_field_blocks_R6
TB071,RESULT,ASSERTION,CONTENT,SUBSTANTIVE,"[""trial"", ""catalogue descriptions"", ""digitisation needs"", ""research lead"", ""provenance gap""]",DESCRIPTIVE,reports_usefulness,YES,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,entity,entity_blocks_R6
TB072,NEXT_STEP,ACTION,ACTION,SUBSTANTIVE,"[""evaluation"", ""catalogue notes"", ""predictions"", ""curator"", ""gold labels""]",ACTIVE,proposes_next_test,YES,NEXT_STEP,YES,YES,YES,YES,evaluation; gold labels,0.000000,NO,ACTIVE,YES,proposes_next_test,YES,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,evaluation; gold labels,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,NEXT_STEP,YES,YES,YES,YES,evaluation; gold labels,0.000000,NO,ACTIVE,YES,proposes_next_test,YES,YES,YES,NO,NO,NO,NO,entity,R6_role_repair_success
